track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Na Rúa (feat. Carrot Green),Carrot Green,spotify:track:3UrzlczJU6BWEdzuSGcHCO,0.789,0.523,2,-9.568,1,0.116,0.183,0.447,0.101,0.312,100.017,audio_features,3UrzlczJU6BWEdzuSGcHCO,spotify:track:3UrzlczJU6BWEdzuSGcHCO,https://api.spotify.com/v1/tracks/3UrzlczJU6BWEdzuSGcHCO,https://api.spotify.com/v1/audio-analysis/3UrzlczJU6BWEdzuSGcHCO,241541,4
Sr. Tigre (French Braids Rework),YoSoyMatt,spotify:track:5tzPFYc2SwCkMIGZMhagS2,0.734,0.554,2,-9.479,0,0.0323,0.0813,0.397,0.205,0.338,102.986,audio_features,5tzPFYc2SwCkMIGZMhagS2,spotify:track:5tzPFYc2SwCkMIGZMhagS2,https://api.spotify.com/v1/tracks/5tzPFYc2SwCkMIGZMhagS2,https://api.spotify.com/v1/audio-analysis/5tzPFYc2SwCkMIGZMhagS2,212621,4
Sr. Tigre (French Braids Rework),Eva de Marce,spotify:track:5tzPFYc2SwCkMIGZMhagS2,0.734,0.554,2,-9.479,0,0.0323,0.0813,0.397,0.205,0.338,102.986,audio_features,5tzPFYc2SwCkMIGZMhagS2,spotify:track:5tzPFYc2SwCkMIGZMhagS2,https://api.spotify.com/v1/tracks/5tzPFYc2SwCkMIGZMhagS2,https://api.spotify.com/v1/audio-analysis/5tzPFYc2SwCkMIGZMhagS2,212621,4
Sr. Tigre (French Braids Rework),French Braids,spotify:track:5tzPFYc2SwCkMIGZMhagS2,0.734,0.554,2,-9.479,0,0.0323,0.0813,0.397,0.205,0.338,102.986,audio_features,5tzPFYc2SwCkMIGZMhagS2,spotify:track:5tzPFYc2SwCkMIGZMhagS2,https://api.spotify.com/v1/tracks/5tzPFYc2SwCkMIGZMhagS2,https://api.spotify.com/v1/audio-analysis/5tzPFYc2SwCkMIGZMhagS2,212621,4
El Abuelo,Rodrigo Gallardo,spotify:track:1cmjjbzi9Hqe6IgHbB7gBp,0.865,0.371,9,-10.795,1,0.12,0.0305,0.862,0.107,0.307,115.027,audio_features,1cmjjbzi9Hqe6IgHbB7gBp,spotify:track:1cmjjbzi9Hqe6IgHbB7gBp,https://api.spotify.com/v1/tracks/1cmjjbzi9Hqe6IgHbB7gBp,https://api.spotify.com/v1/audio-analysis/1cmjjbzi9Hqe6IgHbB7gBp,331159,4
El Abuelo,Fernando Milagros,spotify:track:1cmjjbzi9Hqe6IgHbB7gBp,0.865,0.371,9,-10.795,1,0.12,0.0305,0.862,0.107,0.307,115.027,audio_features,1cmjjbzi9Hqe6IgHbB7gBp,spotify:track:1cmjjbzi9Hqe6IgHbB7gBp,https://api.spotify.com/v1/tracks/1cmjjbzi9Hqe6IgHbB7gBp,https://api.spotify.com/v1/audio-analysis/1cmjjbzi9Hqe6IgHbB7gBp,331159,4
Qoychuquy,Psilosamples,spotify:track:2DRRTVbs30PBkGy7GvYTLt,0.8,0.538,8,-10.416,0,0.0464,0.22,0.711,0.0747,0.0421,110.016,audio_features,2DRRTVbs30PBkGy7GvYTLt,spotify:track:2DRRTVbs30PBkGy7GvYTLt,https://api.spotify.com/v1/tracks/2DRRTVbs30PBkGy7GvYTLt,https://api.spotify.com/v1/audio-analysis/2DRRTVbs30PBkGy7GvYTLt,243415,4
Temazcal,Matanza,spotify:track:0SOG7VMrKYCHoMRYqS9fjK,0.879,0.626,6,-12.034,1,0.232,0.015,0.749,0.0897,0.433,126.004,audio_features,0SOG7VMrKYCHoMRYqS9fjK,spotify:track:0SOG7VMrKYCHoMRYqS9fjK,https://api.spotify.com/v1/tracks/0SOG7VMrKYCHoMRYqS9fjK,https://api.spotify.com/v1/audio-analysis/0SOG7VMrKYCHoMRYqS9fjK,251429,4
El Molino feat. Laura Romero - Mixed,Mula (FR),spotify:track:2vfOtlWLbMYGXYN6xRHWXQ,0.701,0.688,7,-15.454,0,0.0395,0.0425,0.899,0.0944,0.191,112.001,audio_features,2vfOtlWLbMYGXYN6xRHWXQ,spotify:track:2vfOtlWLbMYGXYN6xRHWXQ,https://api.spotify.com/v1/tracks/2vfOtlWLbMYGXYN6xRHWXQ,https://api.spotify.com/v1/audio-analysis/2vfOtlWLbMYGXYN6xRHWXQ,394292,4
Tallo y Espíritu,Quixosis,spotify:track:1Z8U7OVYzyeFkGKKI6zYgl,0.525,0.525,9,-11.519,0,0.16,0.0795,0.577,0.346,0.326,98.953,audio_features,1Z8U7OVYzyeFkGKKI6zYgl,spotify:track:1Z8U7OVYzyeFkGKKI6zYgl,https://api.spotify.com/v1/tracks/1Z8U7OVYzyeFkGKKI6zYgl,https://api.spotify.com/v1/audio-analysis/1Z8U7OVYzyeFkGKKI6zYgl,377749,4
Minca,Yeahman,spotify:track:0eEqS66AfoU8IW8ejoZRvf,0.834,0.522,6,-12.482,0,0.152,0.401,0.763,0.129,0.41,99.984,audio_features,0eEqS66AfoU8IW8ejoZRvf,spotify:track:0eEqS66AfoU8IW8ejoZRvf,https://api.spotify.com/v1/tracks/0eEqS66AfoU8IW8ejoZRvf,https://api.spotify.com/v1/audio-analysis/0eEqS66AfoU8IW8ejoZRvf,246317,4
Añoranza en las Yungas (El Búho Remix),Lagartijeando,spotify:track:4njoxZ2U7gx7fN3obZaKGa,0.618,0.644,9,-7.773,0,0.0522,0.137,0.243,0.172,0.499,89.957,audio_features,4njoxZ2U7gx7fN3obZaKGa,spotify:track:4njoxZ2U7gx7fN3obZaKGa,https://api.spotify.com/v1/tracks/4njoxZ2U7gx7fN3obZaKGa,https://api.spotify.com/v1/audio-analysis/4njoxZ2U7gx7fN3obZaKGa,258876,4
Añoranza en las Yungas (El Búho Remix),El Búho,spotify:track:4njoxZ2U7gx7fN3obZaKGa,0.618,0.644,9,-7.773,0,0.0522,0.137,0.243,0.172,0.499,89.957,audio_features,4njoxZ2U7gx7fN3obZaKGa,spotify:track:4njoxZ2U7gx7fN3obZaKGa,https://api.spotify.com/v1/tracks/4njoxZ2U7gx7fN3obZaKGa,https://api.spotify.com/v1/audio-analysis/4njoxZ2U7gx7fN3obZaKGa,258876,4
Ancestors - Shamans Dream & Poranguí Remix,Poranguí,spotify:track:7gxRkpDymJQKPMAame5c29,0.772,0.413,11,-11.382,0,0.0879,0.115,0.0321,0.304,0.369,129.011,audio_features,7gxRkpDymJQKPMAame5c29,spotify:track:7gxRkpDymJQKPMAame5c29,https://api.spotify.com/v1/tracks/7gxRkpDymJQKPMAame5c29,https://api.spotify.com/v1/audio-analysis/7gxRkpDymJQKPMAame5c29,407365,3
Ancestors - Shamans Dream & Poranguí Remix,Shaman's Dream,spotify:track:7gxRkpDymJQKPMAame5c29,0.772,0.413,11,-11.382,0,0.0879,0.115,0.0321,0.304,0.369,129.011,audio_features,7gxRkpDymJQKPMAame5c29,spotify:track:7gxRkpDymJQKPMAame5c29,https://api.spotify.com/v1/tracks/7gxRkpDymJQKPMAame5c29,https://api.spotify.com/v1/audio-analysis/7gxRkpDymJQKPMAame5c29,407365,3
El Camino De Mi Alma,Hermanos Gutiérrez,spotify:track:6Jfpv3vvfobay7uYVxWXog,0.473,0.388,11,-17.334,0,0.0388,0.382,0.72,0.219,0.0943,90.204,audio_features,6Jfpv3vvfobay7uYVxWXog,spotify:track:6Jfpv3vvfobay7uYVxWXog,https://api.spotify.com/v1/tracks/6Jfpv3vvfobay7uYVxWXog,https://api.spotify.com/v1/audio-analysis/6Jfpv3vvfobay7uYVxWXog,361000,4
Porque Estás Triste,Savia Andina,spotify:track:1L694elylE5hZLg33d3KIO,0.553,0.288,3,-16.386,1,0.0534,0.886,0.236,0.106,0.591,74.454,audio_features,1L694elylE5hZLg33d3KIO,spotify:track:1L694elylE5hZLg33d3KIO,https://api.spotify.com/v1/tracks/1L694elylE5hZLg33d3KIO,https://api.spotify.com/v1/audio-analysis/1L694elylE5hZLg33d3KIO,213067,4
Mirando El Fuego,El Búho,spotify:track:7bLuttK3tjKJhvfs5WZL9D,0.654,0.569,2,-11.115,0,0.0323,0.78,0.147,0.248,0.319,97.018,audio_features,7bLuttK3tjKJhvfs5WZL9D,spotify:track:7bLuttK3tjKJhvfs5WZL9D,https://api.spotify.com/v1/tracks/7bLuttK3tjKJhvfs5WZL9D,https://api.spotify.com/v1/audio-analysis/7bLuttK3tjKJhvfs5WZL9D,341500,4
Mirando El Fuego,Joaquín Cornejo,spotify:track:7bLuttK3tjKJhvfs5WZL9D,0.654,0.569,2,-11.115,0,0.0323,0.78,0.147,0.248,0.319,97.018,audio_features,7bLuttK3tjKJhvfs5WZL9D,spotify:track:7bLuttK3tjKJhvfs5WZL9D,https://api.spotify.com/v1/tracks/7bLuttK3tjKJhvfs5WZL9D,https://api.spotify.com/v1/audio-analysis/7bLuttK3tjKJhvfs5WZL9D,341500,4
Mirando El Fuego,Minuk,spotify:track:7bLuttK3tjKJhvfs5WZL9D,0.654,0.569,2,-11.115,0,0.0323,0.78,0.147,0.248,0.319,97.018,audio_features,7bLuttK3tjKJhvfs5WZL9D,spotify:track:7bLuttK3tjKJhvfs5WZL9D,https://api.spotify.com/v1/tracks/7bLuttK3tjKJhvfs5WZL9D,https://api.spotify.com/v1/audio-analysis/7bLuttK3tjKJhvfs5WZL9D,341500,4
Corazon de Rubi,El Búho,spotify:track:4ZNIMDo5YS5blN6MsN0tL9,0.422,0.334,11,-15.56,0,0.0355,0.792,0.244,0.0848,0.645,132.033,audio_features,4ZNIMDo5YS5blN6MsN0tL9,spotify:track:4ZNIMDo5YS5blN6MsN0tL9,https://api.spotify.com/v1/tracks/4ZNIMDo5YS5blN6MsN0tL9,https://api.spotify.com/v1/audio-analysis/4ZNIMDo5YS5blN6MsN0tL9,254816,3
Corazon de Rubi,Minuk,spotify:track:4ZNIMDo5YS5blN6MsN0tL9,0.422,0.334,11,-15.56,0,0.0355,0.792,0.244,0.0848,0.645,132.033,audio_features,4ZNIMDo5YS5blN6MsN0tL9,spotify:track:4ZNIMDo5YS5blN6MsN0tL9,https://api.spotify.com/v1/tracks/4ZNIMDo5YS5blN6MsN0tL9,https://api.spotify.com/v1/audio-analysis/4ZNIMDo5YS5blN6MsN0tL9,254816,3
Cura Cura,Kama Lila Sol,spotify:track:5oBzeQbcMOW4q6hNBnQw30,0.363,0.456,7,-9.077,1,0.028,0.931,0.828,0.0963,0.268,109.017,audio_features,5oBzeQbcMOW4q6hNBnQw30,spotify:track:5oBzeQbcMOW4q6hNBnQw30,https://api.spotify.com/v1/tracks/5oBzeQbcMOW4q6hNBnQw30,https://api.spotify.com/v1/audio-analysis/5oBzeQbcMOW4q6hNBnQw30,354146,4
Abuelo Jaguar,Minuk,spotify:track:78vb3vpPpvzMPz4n9SD7IF,0.456,0.257,9,-13.851,1,0.037,0.797,0.00584,0.0809,0.33,177.088,audio_features,78vb3vpPpvzMPz4n9SD7IF,spotify:track:78vb3vpPpvzMPz4n9SD7IF,https://api.spotify.com/v1/tracks/78vb3vpPpvzMPz4n9SD7IF,https://api.spotify.com/v1/audio-analysis/78vb3vpPpvzMPz4n9SD7IF,295147,3
Paso Por El Fuego (feat. Mafé Tula),Di Laif,spotify:track:2untweR6vKgPN9mKEBPq7f,0.505,0.646,2,-9.04,0,0.103,0.434,0.674,0.112,0.395,79.472,audio_features,2untweR6vKgPN9mKEBPq7f,spotify:track:2untweR6vKgPN9mKEBPq7f,https://api.spotify.com/v1/tracks/2untweR6vKgPN9mKEBPq7f,https://api.spotify.com/v1/audio-analysis/2untweR6vKgPN9mKEBPq7f,332830,3
Paso Por El Fuego (feat. Mafé Tula),Mafé Tula,spotify:track:2untweR6vKgPN9mKEBPq7f,0.505,0.646,2,-9.04,0,0.103,0.434,0.674,0.112,0.395,79.472,audio_features,2untweR6vKgPN9mKEBPq7f,spotify:track:2untweR6vKgPN9mKEBPq7f,https://api.spotify.com/v1/tracks/2untweR6vKgPN9mKEBPq7f,https://api.spotify.com/v1/audio-analysis/2untweR6vKgPN9mKEBPq7f,332830,3
